dataset_name,run_name,model_name,model_type,max_seq_length,finetuning_method,optim,learning_rate,lr_scheduler_type,warmup_steps,warmup_ratio,per_device_train_batch_size,per_device_eval_batch_size,gradient_accumulation_steps,eval_accumulation_steps,num_train_epochs,evaluation_strategy,eval_steps,metric_for_best_model,torch_dtype,gpu,gpu_count,max_gpu_0_mem_percent,max_gpu_0_mem_gb,max_gpu_1_mem_percent,max_gpu_1_mem_gb,distributed_training_method,weight_decay,max_grad_norm,lora_rank,lora_alpha,lora_target_modules,train/loss,eval/loss,test/loss,eval/accuracy,test/accuracy,eval/f1_macro,test/f1_macro,train_runtime,eval/runtime,test/runtime,_runtime
ledgar,google/gemma_7b_LoRA_coastalcph/lex_glue_ledgar,unknown,gemma,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,bfloat16,NVIDIA RTX A6000,2,77.9,37.384521484375,77.6,37.23895263671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.1245,0.49595001339912415,0.512473464012146,0.862,0.865,0.7884484946366852,0.8012587866018115,39017.8966,553.9631,553.3075,40135.61772179603
ledgar,meta_llama/Llama_2_7b_hf_LoRA_coastalcph/lex_glue_ledgar,unknown,llama,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,float16,NVIDIA RTX A6000,2,73.58,35.308349609375,73.27,35.16278076171875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.3101,0.5119749903678894,0.5245031118392944,0.8557,0.8562,0.7698967853803559,0.7770134410118483,33896.7453,462.6579,461.5845,34828.61469244957
ledgar,Qwen/Qwen1.5_7B_LoRA_coastalcph/lex_glue_ledgar,unknown,qwen2,512,LoRA,adamw_torch,5e-06,linear,0,0,8,32,64,100.0,3,steps,25,loss,bfloat16,NVIDIA RTX A6000,2,94.1,45.15716552734375,93.8,45.01239013671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",1.2055,1.250612497329712,1.2572062015533447,0.7325,0.7272,0.5798264308657608,0.5675773152782599,24138.8338,461.6992,459.9635,25069.597588777546
ledgar,meta_llama/Llama_2_7b_hf_LoRA_coastalcph/lex_glue_ledgar,unknown,llama,512,LoRA,adamw_torch,5e-06,linear,0,0,8,32,64,100.0,3,steps,25,loss,float16,NVIDIA RTX A6000,2,90.98,43.65911865234375,90.68,43.51434326171875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",1.4681,1.5241999626159668,1.5455000400543213,0.6691,0.6643,0.4964860975805867,0.4851650908840632,24178.967,464.0879,462.7407,25112.74169516563
ledgar,mistralai/Mistral_7B_v0.1_LoRA_coastalcph/lex_glue_ledgar,unknown,mistral,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,200,loss,bfloat16,NVIDIA RTX A6000,2,74.97,35.97802734375,74.68,35.83856201171875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.122,0.5023640394210815,0.4998968839645386,0.8605,0.8652,0.7818475135195345,0.7968921202347373,36741.3666,483.862,483.2211,37715.89782381058
patent,Qwen/Qwen1.5_7B_LoRA_ccdv/patent_classification_abstract,unknown,qwen2,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,200,loss,bfloat16,NVIDIA RTX A6000,2,73.71,35.37060546875,73.42,35.23114013671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.9299,0.9126999974250792,0.9439250230789183,0.6866,0.6718,0.6360041088223324,0.6143252143996836,13165.2514,232.6253,232.8955,13639.927175283432
patent,google/gemma_7b_LoRA_ccdv/patent_classification_abstract,unknown,gemma,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,200,loss,bfloat16,NVIDIA RTX A6000,2,77.89,37.37841796875,77.6,37.23895263671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.6213,0.8205124735832214,0.8327999711036682,0.723,0.7118,0.6900968408465934,0.6678273659580354,15146.7332,279.3676,278.8966,15712.742848873138
patent,meta_llama/Llama_2_7b_hf_LoRA_ccdv/patent_classification_abstract,unknown,llama,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,200,loss,float16,NVIDIA RTX A6000,2,73.56,35.30224609375,73.27,35.16278076171875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.8161,0.8312125205993652,0.8732125163078308,0.7072,0.6894,0.6648310159623088,0.640787592517488,13231.6062,233.0162,233.0424,13705.07274055481
patent,mistralai/Mistral_7B_v0.1_LoRA_ccdv/patent_classification_abstract,unknown,mistral,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,200,loss,bfloat16,NVIDIA RTX A6000,2,74.97,35.97607421875,74.68,35.83660888671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.707,0.8405749797821045,0.8707500100135803,0.7124,0.6948,0.673272028116953,0.645309074307161,13699.6288,243.836,244.5315,14195.475496530533
scotus,Qwen/Qwen1.5_7B_LoRA_coastalcph/lex_glue_scotus,unknown,qwen2,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,bfloat16,NVIDIA RTX A6000,2,73.71,35.37060546875,70.39,33.77801513671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",2.6051,3.6776785850524902,4.070892810821533,0.24428571428571427,0.22428571428571428,0.11715520610113428,0.1031185840949971,2743.2899,63.1232,63.6239,2878.623624563217
